City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuhmo,64.1333,29.5167,-9.92,96,98,2.6,FI,1702503619
1,tura,25.5198,90.2201,12.84,64,0,1.06,IN,1702503619
2,waitangi,-43.9535,-176.5597,12.12,79,65,5.36,NZ,1702503619
3,invercargill,-46.4,168.35,12.77,62,86,5.66,NZ,1702503585
4,chos malal,-37.3781,-70.2709,27.3,9,3,6.53,AR,1702503620
5,port-aux-francais,-49.35,70.2167,7.93,97,100,18.8,TF,1702503620
6,iskateley,67.6803,53.1512,-13.8,95,100,4.43,RU,1702503620
7,blackmans bay,-43.0167,147.3167,18.07,84,68,1.41,AU,1702503620
8,albany,42.6001,-73.9662,1.92,60,46,0.89,US,1702503621
9,coahuayana de hidalgo,18.7,-103.6583,30.1,43,100,1.91,MX,1702503621
10,visby,57.6409,18.296,0.12,80,100,3.6,SE,1702503621
11,adamstown,-25.066,-130.1015,23.45,83,99,4.75,PN,1702503621
12,summerside,46.3959,-63.7876,1.19,86,24,6.69,CA,1702503596
13,egilsstadir,65.2653,-14.3948,6.95,57,75,11.83,IS,1702503621
14,kapuskasing,49.4169,-82.4331,-10.95,72,20,3.09,CA,1702503553
15,new norfolk,-42.7826,147.0587,18.72,90,66,2.32,AU,1702503622
16,san luis de la loma,17.2706,-100.8939,29.19,59,100,1.76,MX,1702503622
17,grytviken,-54.2811,-36.5092,2.98,96,100,2.56,GS,1702503622
18,el granada,37.5027,-122.4694,19.21,49,0,3.6,US,1702503622
19,caleta de carquin,-11.0925,-77.6267,22.34,78,12,5.24,PE,1702503623
20,gadzhiyevo,69.2551,33.3362,-17.56,100,89,4.25,RU,1702503623
21,edinburgh of the seven seas,-37.0676,-12.3116,15.25,87,100,5.42,SH,1702503623
22,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,45,20,7.0,RU,1702503624
23,puerto natales,-51.7236,-72.4875,11.25,43,75,12.35,CL,1702503624
24,yellowknife,62.456,-114.3525,1.9,90,75,4.12,CA,1702503624
25,punta arenas,-53.15,-70.9167,11.06,46,40,9.77,CL,1702502950
26,whitehorse,60.7161,-135.0538,-3.28,85,75,4.63,CA,1702503625
27,mek'ele,13.4967,39.4753,14.56,82,96,3.63,ET,1702503625
28,kingston,17.997,-76.7936,28.53,83,40,7.2,JM,1702503256
29,qamdo,31.1667,97.2333,-9.23,82,100,1.79,CN,1702503626
30,queenstown,-31.8976,26.8753,12.55,92,34,0.94,ZA,1702503472
31,hamilton,39.1834,-84.5333,7.74,40,0,0.45,US,1702503136
32,golfito,8.639,-83.166,28.04,87,32,1.29,CR,1702503626
33,khost,33.3395,69.9204,6.69,41,25,0.97,AF,1702503627
34,vega de alatorre,20.0333,-96.6333,21.0,81,100,4.19,MX,1702503627
35,la ronge,55.1001,-105.2842,6.14,33,75,2.57,CA,1702503443
36,ushuaia,-54.8,-68.3,8.81,57,75,8.75,AR,1702503627
37,margaret river,-33.95,115.0667,12.33,78,61,4.14,AU,1702503628
38,quchan,37.106,58.5095,5.36,47,100,2.78,IR,1702503628
39,hawaiian paradise park,19.5933,-154.9731,26.04,79,75,2.06,US,1702503628
40,karoi,-16.8099,29.6925,18.98,90,100,2.17,ZW,1702503628
41,iqaluit,63.7506,-68.5145,-13.15,72,75,2.57,CA,1702503629
42,dunedin,-45.8742,170.5036,17.82,55,51,5.36,NZ,1702503552
43,port lincoln,-34.7333,135.8667,17.34,76,99,6.1,AU,1702503629
44,enewetak,11.3474,162.3373,27.52,79,74,9.29,MH,1702503629
45,avarua,-21.2078,-159.775,26.03,94,100,4.12,CK,1702503629
46,tiksi,71.6872,128.8694,-17.71,99,100,3.16,RU,1702503629
47,purpe,64.4803,76.6897,-22.58,99,98,3.26,RU,1702503630
48,howrah,22.5892,88.3103,18.0,72,4,0.0,IN,1702503630
49,kisangani,0.5167,25.2,22.19,95,97,0.91,CD,1702503630
50,east london,-33.0153,27.9116,20.13,89,97,7.26,ZA,1702503630
51,mata-utu,-13.2816,-176.1745,27.89,71,76,3.81,WF,1702503630
52,bethel,41.3712,-73.414,5.98,51,1,3.13,US,1702503515
53,lerwick,60.1545,-1.1494,6.0,72,100,14.37,GB,1702503631
54,puerto ayora,-0.7393,-90.3518,30.98,82,86,4.74,EC,1702503631
55,papatowai,-46.5619,169.4708,12.06,62,100,7.35,NZ,1702503631
56,saint-leu,-21.15,55.2833,24.48,91,99,0.98,RE,1702503631
57,hermanus,-34.4187,19.2345,16.23,73,100,3.95,ZA,1702503632
58,port mathurin,-19.6833,63.4167,26.31,74,7,4.9,MU,1702503632
59,christchurch,-43.5333,172.6333,17.4,64,100,1.03,NZ,1702503632
60,manakara,-22.1333,48.0167,24.74,87,92,2.45,MG,1702503632
61,isafjordur,66.0755,-23.124,1.07,87,57,4.35,IS,1702503632
62,port alfred,-33.5906,26.891,17.32,91,42,0.89,ZA,1702503633
63,dodola,6.9833,39.1833,14.19,72,68,0.73,ET,1702503633
64,bredasdorp,-34.5322,20.0403,16.29,70,100,4.61,ZA,1702503426
65,college,64.8569,-147.8028,-14.03,78,100,0.0,US,1702503633
66,longyearbyen,78.2186,15.6401,0.91,64,40,3.09,SJ,1702503633
67,inongo,-1.95,18.2667,22.27,96,60,1.5,CD,1702503633
68,la passe,45.5549,-0.8967,9.13,82,48,8.12,FR,1702503634
69,sitka,57.0531,-135.33,3.94,81,100,12.86,US,1702503634
70,stanley,54.868,-1.6985,0.44,95,72,1.74,GB,1702503634
71,mukalla,14.5425,49.1242,22.06,79,19,1.01,YE,1702503406
72,lugoff,34.2274,-80.6892,15.96,31,0,0.0,US,1702503634
73,ribeira grande,38.5167,-28.7,14.87,72,20,4.12,PT,1702503635
74,west island,-12.1568,96.8225,25.99,83,100,3.09,CC,1702503635
75,balabac,7.9868,117.0645,27.97,78,51,8.79,PH,1702503635
76,bonthe,7.5264,-12.505,26.43,81,9,2.47,SL,1702503635
77,guozhen,34.3659,107.359,-0.16,90,100,0.49,CN,1702503636
78,mugia,43.1041,-9.2179,12.17,69,18,6.12,ES,1702503636
79,arraial do cabo,-22.9661,-42.0278,24.98,78,0,6.69,BR,1702503636
80,nouadhibou,20.931,-17.0347,23.99,25,4,4.12,MR,1702503636
81,kargasok,59.0556,80.8572,-17.24,96,100,3.58,RU,1702503636
82,st. john's,47.5649,-52.7093,2.31,82,75,6.69,CA,1702503412
83,port-vila,-17.7338,168.3219,25.78,61,75,4.12,VU,1702503636
84,kingscliff,-28.2667,153.5667,26.64,69,83,5.66,AU,1702503637
85,yen vinh,18.6667,105.6667,21.25,92,77,2.26,VN,1702503637
86,minas de marcona,-15.2119,-75.1103,19.24,66,23,5.81,PE,1702503637
87,guatrache,-37.6678,-63.5302,32.21,11,0,0.22,AR,1702503637
88,villa gesell,-37.2639,-56.973,18.92,71,0,7.8,AR,1702503637
89,islamkot,24.6997,70.177,19.81,28,88,2.14,PK,1702503637
90,tazacorte,28.629,-17.9293,22.86,29,0,4.92,ES,1702503637
91,qaqortoq,60.7167,-46.0333,-18.21,78,12,2.73,GL,1702503637
92,cabedelo,-6.9811,-34.8339,27.37,69,9,6.4,BR,1702503638
93,vila franca do campo,37.7167,-25.4333,14.23,70,100,4.26,PT,1702503638
94,jamestown,42.097,-79.2353,0.31,56,0,6.17,US,1702503638
95,cabo san lucas,22.8909,-109.9124,29.17,40,40,3.09,MX,1702503638
96,nishinoomote,30.7333,131.0,20.46,63,96,6.61,JP,1702503638
97,wailua homesteads,22.0669,-159.378,24.24,89,75,10.29,US,1702503638
98,vidyayevo,69.3191,32.8049,-17.2,98,56,3.69,RU,1702503638
99,holualoa,19.6228,-155.9522,25.91,77,40,5.66,US,1702503638
100,ulladulla,-35.35,150.4667,28.2,52,20,3.78,AU,1702503638
101,nemuro,43.3236,145.575,-4.11,63,54,11.02,JP,1702503638
102,necochea,-38.5473,-58.7368,17.19,47,0,6.45,AR,1702503639
103,lebu,-37.6167,-73.65,13.1,77,0,8.81,CL,1702503639
104,forio,40.7342,13.8646,16.9,79,100,1.79,IT,1702503639
105,chibougamau,49.9168,-74.3659,-13.21,85,100,4.63,CA,1702503639
106,cannonvale,-20.2833,148.7,24.66,78,89,6.3,AU,1702503639
107,dem'yanovo,60.3511,47.0842,-13.25,94,100,4.38,RU,1702503639
108,thunder bay,48.4001,-89.3168,-3.01,59,40,2.06,CA,1702503636
109,dahme,51.8667,13.4333,5.95,97,96,1.69,DE,1702503639
110,khandyga,62.6667,135.6,-36.03,100,99,0.58,RU,1702503639
